,Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date
69222,20101115X02256,Accident,ERA11CA061,2010-11-14,"Gaithersburg, MD",United States,039104N,0077934W,GAI,Montgomery County Airpark,Non-Fatal,Substantial,Airplane,N249ER,CESSNA,172N,No,1.0,Reciprocating,091,,Instructional,WIFA (Washington International Flight Academy),0.0,0.0,0.0,1.0,VMC,,"The student pilot's inadequate use of the rudder, and subsequent loss of directional control.",25-09-2020
69229,20101116X04443,Accident,ERA11LA065,2010-11-16,"Hobe Sound, FL",United States,027057N,0801446W,,,Non-Fatal,Substantial,Airplane,N8306B,CESSNA,172,No,1.0,Reciprocating,091,,Personal,Ramon C Fenner,0.0,0.0,0.0,1.0,VMC,,A partial loss of engine power due to fuel contamination in the carburetor.,25-09-2020
69245,20101124X02322,Accident,ERA11LA071,2010-11-21,"Bluffton, SC",United States,321315N,0805145W,,,Non-Fatal,Substantial,Airplane,N882AV,CESSNA,172N,No,1.0,Reciprocating,091,,Personal,William C. Ambercrombie,0.0,1.0,0.0,0.0,VMC,,An in-flight upset of undetermined origin resulting in a forced landing.,25-09-2020
69252,20101124X21352,Accident,CEN11LA082,2010-11-24,"Velma, OK",United States,344816N,0975813W,,,Fatal,Destroyed,Airplane,N4428Q,CESSNA,172M,No,1.0,Reciprocating,091,,Aerial Observation,"Eagle Sky Patrol, Inc.",1.0,0.0,0.0,0.0,VMC,,"The pilotï¿½s failure to maintain control of the airplane while maneuvering, which resulted in an inadvertent stall and subsequent impact with terrain. Contributing to the accident was the pilot's relative inexperience in pipeline patrols.",25-09-2020
69269,20101130X83110,Accident,ERA11FA074,2010-11-30,"Theodore, AL",United States,303321N,0881752W,,,Fatal,Substantial,Airplane,N1860P,BEECH,A36,No,1.0,Reciprocating,091,,Personal,Michael S. Grantham,1.0,0.0,0.0,0.0,IMC,,The pilot's failure to maintain aircraft control while maneuvering at night in deteriorating weather conditions due to spatial disorientation. Contributing to the accident was the pilot's failure to obtain a weather briefing.,25-09-2020
69277,20101202X94844,Accident,CEN11LA089,2010-12-02,"Omaha, NE",United States,411810N,0955338W,OMA,Eppley Airfield,Non-Fatal,Substantial,Airplane,N3246D,CESSNA,180,No,1.0,Reciprocating,091,,Personal,Stephen Walters,0.0,0.0,0.0,1.0,VMC,,"A loss of engine power due to a stuck check valve in the carburetor acceleration pump, resulting in an improper fuel mixture when the pilot attempted to add power.",25-09-2020
69285,20101204X12720,Accident,CEN11LA093,2010-12-04,"Ponca City, OK",United States,364355N,0097559W,PNC,Ponca City Regional,Fatal,Substantial,Airplane,N8320R,PIPER,PA-28-140,No,1.0,Reciprocating,091,,Personal,Kenneth R. & Matthew T. Green,1.0,0.0,1.0,0.0,VMC,,The pilot's loss of control during landing for undetermined reasons.,25-09-2020
69286,20101205X13612,Accident,WPR11CA072,2010-12-04,"Pullman, WA",United States,463936N,1171048W,,,Non-Fatal,Substantial,Airplane,N4100Z,PIPER,PA-18-150,No,1.0,Reciprocating,091,,Personal,Keith M. Kopf,0.0,0.0,0.0,1.0,VMC,,"The pilot's delayed application of carburetor heat while maneuvering, which resulted in a partial loss of engine power.",25-09-2020
69293,20101209X10434,Accident,CEN11CA100,2010-12-07,"LAWRENCE, KS",United States,039040N,0951259W,LWC,Lawrence Municipal,Non-Fatal,Substantial,Airplane,N99HV,CESSNA,172S,No,1.0,Reciprocating,091,,Personal,Hetrick Air Services INC,0.0,0.0,0.0,1.0,VMC,,"The student pilotï¿½s non-stabilized approach and improper landing flare, which resulted in a hard landing.",25-09-2020
69300,20110104X44845,Accident,WPR11CA084,2010-12-08,"Phoenix, AZ",United States,033417N,0112452W,DVT,Phoenix Deer Valley Airport,Non-Fatal,Substantial,Airplane,N418PA,PIPER,PA-28-181,No,1.0,Reciprocating,091,,Instructional,Bird Acquisition LLC,0.0,0.0,0.0,1.0,VMC,,The student pilot's failure to maintain clearance from obstacles while taxiing.,25-09-2020
69307,20101210X32327,Accident,WPR11LA074,2010-12-10,"Chino, CA",United States,335829N,1173811W,CNO,Chino,Non-Fatal,Substantial,Airplane,N5800U,PIPER,PA-28-140,No,1.0,Reciprocating,091,,Instructional,DUBOIS AVIATION INC,0.0,0.0,0.0,2.0,VMC,,"Fatigue cracking of the upper torque-link attach lugs on the left main landing gear strut, which resulted in separation of the left main landing gear during taxi.",25-09-2020
69312,20101211X85133,Accident,WPR11LA075,2010-12-11,"Chino, CA",United States,335823N,1173751W,CNO,Chino,Non-Fatal,Substantial,Airplane,N4326H,MOONEY,M20J,No,1.0,Reciprocating,091,,Instructional,,0.0,0.0,1.0,1.0,VMC,,"The student pilot's failure to properly position the flaps for the takeoff, failure to maintain airplane control during the procedure, and the flight instructor's delayed remedial action.",25-09-2020
69314,20101222X92419,Accident,CEN11CA122,2010-12-11,"Houston, TX",United States,029495N,0954021W,IWS,West Houston,Non-Fatal,Substantial,Airplane,N1634D,CESSNA,170B,No,1.0,Reciprocating,091,,Instructional,,0.0,0.0,0.0,2.0,VMC,,The pilot's failure to maintain directional control during landing. Contributing to the accident was the flight instructor's delayed remedial action.,25-09-2020
69321,20101230X05139,Accident,ERA11LA100,2010-12-13,"St. Thomas,",United States,018208N,0645344W,STT,Cyril E King Airport,Non-Fatal,Substantial,Airplane,N1348L,CESSNA,172,No,1.0,Reciprocating,135,NSCH,,Isla Grande Flying School,0.0,0.0,0.0,1.0,VMC,,The pilot's failure to maintain an adequate visual lookout while taxiing.,25-09-2020
69325,20101217X04644,Accident,CEN11LA112,2010-12-16,"Nacogdoches, TX",United States,313638N,0094392W,,,Non-Fatal,Substantial,Airplane,N422MR,CIRRUS DESIGN CORP,SR22,No,1.0,Reciprocating,091,,Executive/corporate,Martin Companies,0.0,1.0,0.0,0.0,VMC,,The total loss of engine power during cruise flight for undetermined reasons.,25-09-2020
69329,20101219X90605,Accident,ERA11LA093,2010-12-18,"West Milford, NJ",United States,041725N,0742028W,4N1,"Greenwood Lake, West Milford",Non-Fatal,Substantial,Airplane,N1462M,CESSNA,182,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,2.0,0.0,VMC,,"The pilot's delayed application of carburetor heat while taking off in weather conditions conducive to serious carburetor icing, which resulted in a partial loss of engine power.",25-09-2020
69334,20101228X21057,Accident,CEN11CA131,2010-12-19,"Bolingbrook, IL",United States,414145N,0088745W,1C5,Clow International Airport,Non-Fatal,Substantial,Airplane,N5437M,CESSNA,152,No,1.0,Reciprocating,091,,Instructional,SALE REPORTED,0.0,0.0,0.0,1.0,VMC,,The student pilot's failure to maintain directional control during landing.,25-09-2020
69337,20101223X94500,Accident,CEN11CA127,2010-12-21,"Clifton, TX",United States,031490N,0097341W,7F7,Clifton Muncipal,Non-Fatal,Substantial,Airplane,N9317G,CESSNA,182P,No,1.0,Reciprocating,091,,Personal,Pauls Valley Flyboys LLC,0.0,0.0,0.0,3.0,VMC,,"The pilot's inadequate compensation for the crosswind and inadequate flare, which resulted in a hard landing.",25-09-2020
69351,20101227X21121,Accident,ERA11CA096,2010-12-23,"Fort Myers, FL",United States,026357N,0815128W,FMY,Page Field Airport,Non-Fatal,Substantial,Airplane,N385ME,CESSNA,172S,No,1.0,Reciprocating,091,,Personal,SUNDOWNERS INC,0.0,0.0,0.0,1.0,VMC,,The pilot's failure to maintain directional control during the takeoff roll. Contributing to the accident was the pilotï¿½s attempt to take off with full flaps.,25-09-2020
69352,20101230X03827,Accident,ANC11CA005,2010-12-23,"Clear, AK",United States,064200N,0149420W,,,Non-Fatal,Substantial,Airplane,N40283,PIPER,PA-18-150,No,1.0,Reciprocating,091,,Personal,MARK A. KEECH,0.0,0.0,0.0,1.0,VMC,,"The pilot's inadequate preflight inspection, which resulted in a loss of engine power due to water/ice in the fuel system.",25-09-2020
69353,20101227X72734,Accident,ERA11CA097,2010-12-24,"Winnsboro, SC",United States,341833N,0081619W,FDW,Fairfield County Airport,Non-Fatal,Substantial,Airplane,N76831,CESSNA,140,No,1.0,Reciprocating,091,,Personal,HORTON PAUL M,0.0,0.0,0.0,2.0,VMC,,The excessive brake inputs by both pilots during the landing roll resulting in the airplane nosing over.,25-09-2020
69370,20110103X03912,Accident,ERA11LA103,2010-12-31,"Wimauma, FL",United States,274243N,0821658W,FD77,Wimauma Air Park,Non-Fatal,Substantial,Airplane,N28BA,CESSNA,152,No,1.0,Reciprocating,091,,Other Work Use,CIRRUS AVIATION INC,0.0,0.0,0.0,1.0,VMC,,"The mechanic/pilot's failure to detect a visible exhaust gas leak and cracked cylinder head immediately prior to the accident flight, which resulted in a partial loss of engine power during initial climb. Contributing to the accident was an inadequate 100-hour maintenance inspection, which also failed to detect a visible exhaust gas leak.",25-09-2020
69372,20110104X01724,Accident,ERA11LA105,2010-12-31,"Dublin, NC",United States,034366N,0783446W,NC82,Dublin Field,Non-Fatal,Substantial,Airplane,N4383Q,CESSNA,172,No,1.0,Reciprocating,091,,Personal,Bladen Aviation Inc,0.0,0.0,0.0,1.0,VMC,,The pilotï¿½s improper touchdown speed which resulted in a runway overrun. Contributing to the accident was the undetermined malfunction of the airspeed indicator.,25-09-2020
69373,20110111X84817,Accident,WPR11CA097,2010-12-31,"Flagstaff, AZ",United States,035825N,0111409W,FLG,Flagstaff Pulliam Airport,Non-Fatal,Substantial,Airplane,N67F,CESSNA,180,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,2.0,VMC,,The pilot's failure to maintain directional control during landing that resulted in a ground loop.,25-09-2020
69382,20110103X42941,Accident,ERA11LA104,2011-01-03,"Benton, PA",United States,411732N,0762551W,,,Non-Fatal,Substantial,Airplane,N42997,PIPER,PA-28-161,No,1.0,Reciprocating,091,,Instructional,Tech Aviation Flight School,0.0,0.0,1.0,0.0,IMC,,The pilot's failure to maintain clearance from terrain during the night flight.,25-09-2020
69387,20110104X52154,Accident,WPR11CA085,2011-01-04,"Wickenburg, AZ",United States,335757N,0112488W,E25,Wickenburg Municipal Airport,Non-Fatal,Substantial,Airplane,N443PA,PIPER,PA-28-181,No,1.0,Reciprocating,091,,Instructional,Bird Acquisition LLC,0.0,0.0,0.0,1.0,VMC,,The student pilot's failure to maintain clearance between the airplane's right wing and the pole.,25-09-2020
69417,20110113X04302,Accident,WPR11CA098,2011-01-13,"Austin, NV",United States,361424N,1151345W,,,Non-Fatal,Substantial,Airplane,N4030Z,PIPER,PA-18-150,No,1.0,Reciprocating,091,,Personal,Joe Dory,0.0,0.0,0.0,1.0,VMC,,The pilotï¿½s failure to maintain directional control during the takeoff roll.,25-09-2020
69419,20110114X14925,Accident,WPR11CA100,2011-01-14,"Fullerton, CA",United States,335219N,1175847W,FUL,Fullerton Municipal,Non-Fatal,Substantial,Airplane,N1630C,CESSNA,180,No,1.0,Reciprocating,091,,Personal,Delaney Family Trust,0.0,0.0,0.0,1.0,VMC,,The pilotï¿½s failure to maintain directional control during landing.,25-09-2020
69426,20110115X22545,Accident,ERA11CA115,2011-01-15,"Lebanon, TN",United States,361125N,0861856W,M54,Lebanon Municipal Airport,Non-Fatal,Substantial,Airplane,N1946F,CESSNA,172N,No,1.0,Reciprocating,091,,Instructional,Redi Air,0.0,0.0,0.0,1.0,VMC,,"The student pilotï¿½s failure to maintain directional control during an aborted takeoff, resulting in a runway excursion.",25-09-2020
69433,20110118X70638,Accident,ERA11FA118,2011-01-18,"North Myrtle Beach, SC",United States,334750N,0784456W,CRE,Grand Strand Airport,Fatal,Substantial,Airplane,N2100V,CESSNA,172S,No,1.0,Reciprocating,091,,Personal,Flynfish LLC,1.0,0.0,0.0,0.0,IMC,,The pilot's loss of airplane control during a missed approach due to spatial disorientation.,25-09-2020
69437,20110208X20223,Accident,CEN11CA176,2011-01-19,"Pekin, IL",United States,402918N,0894033W,C15,Pekin Municipal Airport,Non-Fatal,Substantial,Airplane,N5658W,PIPER,PA-28-180,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,1.0,0.0,VMC,,"The student pilot's failure to maintain adequate airspeed during the landing approach, which resulted in an aerodynamic stall.",25-09-2020
69444,20110309X80510,Accident,ANC11WA015,2011-01-21,"Uljin Airport, South Korea",South Korea,,,,,Fatal,Substantial,Airplane,HL1080,CESSNA,172,No,,,NUSN,,Instructional,,2.0,0.0,0.0,0.0,,,,03-11-2020
69447,20110125X13727,Accident,CEN11CA158,2011-01-22,"McKinney, TX",United States,331024N,0963515W,KTKI,Collin County Regional Airport,Non-Fatal,Substantial,Airplane,N348ME,CESSNA,172S,No,1.0,Reciprocating,091,,Instructional,"Texas Aviation Support, Inc",0.0,0.0,0.0,1.0,VMC,,"The student pilot's loss of directional control during takeoff, which resulted in a runway excursion and impact with terrain.",25-09-2020
69449,20110125X21911,Accident,ERA11CA123,2011-01-24,"Jasper, AL",United States,033547N,0871851W,JFX,Walker County-Bevill Field,Non-Fatal,Substantial,Airplane,N1116C,CIRRUS DESIGN CORP,SR22,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,2.0,VMC,,The pilot's loss of directional control on a wet runway during takeoff from a touch and go landing resulting in a runway excursion.,25-09-2020
69450,20110125X43852,Accident,ERA11LA124,2011-01-24,"Pittsburg, PA",United States,402917N,0801335W,PIT,Pittsburgh International,Non-Fatal,Substantial,Airplane,N690KY,CIRRUS DESIGN CORP,SR22,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,2.0,VMC,,"The pilotï¿½s excessive engine rpm and speed during taxi and subsequent braking, which resulted in a wheel brake fire.",25-09-2020
69451,20110125X31518,Accident,WPR11CA106,2011-01-25,"Prescott, AZ",United States,343916N,1122511W,PRC,Ernest A. Love Airport,Non-Fatal,Substantial,Airplane,N2229C,CESSNA,180,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,1.0,VMC,,The pilot's loss of airplane control during the landing roll.,25-09-2020
69458,20110128X12409,Accident,ERA11CA127,2011-01-26,"Monroeville, AL",United States,312717N,0087212W,MVC,Monroe County Airport,Non-Fatal,Substantial,Airplane,N9742J,PIPER,PA28,No,1.0,Reciprocating,091,,Personal,Horace B. Larimore,0.0,0.0,0.0,2.0,VMC,,The pilot's failure to maintain directional control during the landing rollout.,25-09-2020
69459,20110209X23121,Accident,ERA11WA136,2011-01-27,"Isola Fossara, Perugia, Italy",Italy,043270N,0012450E,,,Fatal,Substantial,Airplane,I-AMCO,CESSNA,172,No,1.0,Reciprocating,NUSN,,Personal,,1.0,0.0,0.0,0.0,IMC,,,03-11-2020
69462,20110201X13318,Accident,ERA11LA130,2011-01-28,"Cross City, FL",United States,294727N,0825913W,,,Non-Fatal,Substantial,Airplane,N8135B,CIRRUS DESIGN CORP,SR22,No,1.0,Reciprocating,091,,Personal,Deep South Express LLC,0.0,0.0,0.0,1.0,VMC,,A total loss of engine power resulting from the failure of the camshaft due to fatigue cracks.  Contributing to the accident was the inadequate quality inspection of the camshaft after initial manufacture.,25-09-2020
69463,20110202X92618,Accident,CEN11CA171,2011-01-28,"Shreveport, LA",United States,322647N,0934932W,SHV,Shreveport Municipal Airport,Non-Fatal,Substantial,Airplane,N5929t,CESSNA,172R,No,1.0,Reciprocating,091,,Instructional,,0.0,0.0,0.0,1.0,VMC,,The student pilot's loss of directional control during the landing.,25-09-2020
69466,20110131X43010,Accident,WPR11FA114,2011-01-29,"Furnace Creek, CA",United States,362150N,1165158W,L06,Furnace Creek Airport,Fatal,Substantial,Airplane,N50BJ,MOONEY,M20J,No,1.0,Reciprocating,091,,Personal,,1.0,0.0,0.0,0.0,VMC,,"The magneto clamps were not securely fastened to the mount, which led to a partial loss of engine power and a subsequent forced landing on unsuitable terrain.",25-09-2020
69470,20110202X33535,Accident,ERA11CA131,2011-01-29,"Atlanta, GA",United States,335219N,0084184W,PDK,Dekalb-Peachtree Airport,Non-Fatal,Substantial,Airplane,N9127F,PIPER,PA-28-161,No,1.0,Reciprocating,091,,Personal,Steve Shaner,0.0,0.0,0.0,1.0,VMC,,The pilot's wrong turn while taxiing resulting in a collision with a sign.,25-09-2020
69471,20110202X50601,Accident,ERA11CA132,2011-01-29,"St. Petersburg, FL",United States,274532N,0823722W,SPG,Albert Whitten Airport,Non-Fatal,Substantial,Airplane,N6013J,CESSNA,172S,No,1.0,Reciprocating,091,,Instructional,BAY AIR FLYING SERVICE INC,0.0,0.0,0.0,1.0,VMC,,The student pilot's failure to maintain directional control while attempting to turn the airplane onto a taxiway after landing.,25-09-2020
69472,20110202X53133,Accident,CEN11CA170,2011-01-29,"Meeker, CO",United States,040233N,0107535W,EEO,Meeker Airport,Non-Fatal,Substantial,Airplane,N7199E,CESSNA,182,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,1.0,VMC,,The pilotï¿½s loss of directional control while taxiing due to his improper seat position.,25-09-2020
69478,20110131X11636,Accident,CEN11LA164,2011-01-30,"Bennett, CO",United States,393237N,1042554W,FTG,Front Range Airport,Non-Fatal,Substantial,Airplane,N787CB,CIRRUS DESIGN CORP,SR22,No,1.0,Reciprocating,091,,Personal,,0.0,1.0,0.0,0.0,VMC,,The pilot's failure to maintain control of the airplane during an instrument approach due to spatial disorientation.,25-09-2020
69479,20110202X02535,Accident,CEN11LA169,2011-01-30,"Chesapeake, OH",United States,038257N,0082302W,HTW,Lawrence County Airpark,Non-Fatal,Substantial,Airplane,N55212,CESSNA,172P,No,1.0,Reciprocating,091,,Personal,ATTITUDE AVIATION INC,0.0,2.0,0.0,0.0,VMC,,The partial loss of engine power due to carburetor icing and the pilotï¿½s delayed use of carburetor heat and failure to attain the proper touchdown point on the runway during the precautionary landing.,25-09-2020
69483,20110131X14558,Accident,WPR11FA117,2011-01-31,"Glendora, CA",United States,034939N,1175245W,,,Non-Fatal,Substantial,Airplane,N6922A,CESSNA,172,No,1.0,Reciprocating,091,,Instructional,Gene A. Yu,0.0,1.0,1.0,0.0,VMC,,The flight crew's failure to maintain adequate terrain clearance while maneuvering in downdraft conditions over mountains.,25-09-2020
69485,20110224X33517,Accident,ERA11WA160,2011-01-31,"Novo Repartimento, Brazil",Brazil,003500S,0050380W,,Uniao Farm,Fatal,Destroyed,Airplane,PT-KAS,CESSNA,182,No,1.0,,NUSN,,Unknown,,2.0,0.0,0.0,0.0,VMC,,,03-11-2020
69486,20110201X60626,Accident,WPR11CA118,2011-02-01,"Eastsound, WA",United States,484229N,1225438W,ORS,Orcas Island,Non-Fatal,Substantial,Airplane,N2718R,CESSNA,182,No,1.0,Reciprocating,091,,Personal,Blinn Family Trust,0.0,0.0,1.0,0.0,VMC,,"The pilotï¿½s failure to properly secure the airplane prior to rotating the propeller by hand, resulting in inadvertent movement of the airplane and collision with a building.",25-09-2020
69496,20110207X85020,Accident,WPR11CA126,2011-02-05,"Minden, NV",United States,003903N,0119457W,MEV,Minden,Non-Fatal,Substantial,Airplane,N2603Y,PIPER,PA-28-181,No,1.0,Reciprocating,091,,Instructional,,0.0,0.0,0.0,1.0,VMC,,The pilot's loss of directional control during landing.,25-09-2020
69508,20110209X12851,Accident,CEN11LA178,2011-02-07,"Danville, IL",United States,401159N,0873544W,KDNV,Vermilion Regional Airport,Non-Fatal,Substantial,Airplane,N6XZ,Beech,A36,No,1.0,Reciprocating,091,,Business,Kahler Automation Corporation,0.0,0.0,0.0,3.0,VMC,,The pilot's failure to maintain directional control during the landing roll.,25-09-2020
69509,20110210X62045,Accident,ERA11CA138,2011-02-07,"Meriden, CT",United States,413019N,0724928W,MMK,Meriden Markham Municipal,Non-Fatal,Substantial,Airplane,N9622Q,CESSNA,172,No,1.0,Reciprocating,091,,Instructional,"Sky Jane, LLC",0.0,0.0,0.0,1.0,VMC,,"The student pilot's loss of directional control during the landing rollout, resulting in a runway excursion.",25-09-2020
69511,20110210X85256,Accident,CEN11CA181,2011-02-08,"Lansing, IL",United States,041325N,0873146W,IGQ,Lansing Municipal Airport,Non-Fatal,Substantial,Airplane,N4643R,PIPER,PA-28-140,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,1.0,VMC,,The pilotï¿½s loss of directional control during the landing.,25-09-2020
69518,20110210X63852,Accident,ERA11LA139,2011-02-10,"Lincoln Park, NJ",United States,405651N,0741852W,,,Non-Fatal,Substantial,Airplane,N25HD,CESSNA,182P,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,1.0,0.0,VMC,,"The pilotï¿½s inadequate preflight inspection (removal of water contamination from the fuel system), which resulted in a total loss of engine power.",25-09-2020
69521,20110323X31754,Accident,ANC11WA019,2011-02-10,"Mission, British Columbia, Canada",Canada,,,,,Fatal,Substantial,Airplane,,CESSNA,150,No,,,NUSN,,Unknown,,2.0,0.0,0.0,0.0,,,,03-11-2020
69527,20110214X61717,Accident,CEN11LA183,2011-02-12,"Minneapolis, MN",United States,045343N,0932114W,MIC,Crystal Airport,Non-Fatal,Substantial,Airplane,N536PU,PIPER,PA-28-161,No,1.0,Reciprocating,091,,Personal,METRO AIRCRAFT CO,0.0,0.0,0.0,3.0,VMC,,The pilot's loss of directional control during the landing.,25-09-2020
69528,20110214X74733,Accident,CEN11CA184,2011-02-12,"Poplar Grove, IL",United States,421143N,0089550W,C77,Poplar Grove Airport,Non-Fatal,Substantial,Airplane,N733TM,CESSNA,172N,No,1.0,Reciprocating,091,,Instructional,POPLAR GROVE AIRMOTIVE INC,0.0,0.0,0.0,1.0,VMC,,The student pilot's failure to maintain directional control of the airplane during the takeoff.,25-09-2020
69534,20110302X42700,Accident,WPR11CA152,2011-02-13,"Lancaster, CA",United States,344427N,0118137W,WJF,General Wm J Fox Airfield,Non-Fatal,Substantial,Airplane,N31FC,CESSNA,172,No,1.0,Reciprocating,091,,Instructional,Noel Murphy,0.0,0.0,0.0,3.0,VMC,,The student pilot's improper flare which resulted in a hard landing. Contributing to the accident was the certified flight instructor's delayed remedial action.,25-09-2020
69540,20110222X14949,Incident,DCA11WA028,2011-02-14,"Pekanbaru, Indonesia",Indonesia,,,WIBB,Pekanbaru,Non-Fatal,Minor,Airplane,PK-LFI,BOEING,737,No,2.0,,NUSC,SCHD,,Lion Air,0.0,0.0,0.0,216.0,,,<br /><br />,03-11-2020
69542,20110325X30059,Accident,ERA11WA209,2011-02-14,"Palora, Spain",Spain,001420S,0775559W,,,Non-Fatal,Substantial,Airplane,HC-CDL,CESSNA,182,No,1.0,Reciprocating,NUSN,,Unknown,Fundacion Amazonica,0.0,2.0,2.0,0.0,VMC,,,03-11-2020
69547,20110217X85438,Accident,ERA11CA147,2011-02-15,"Daytona Beach, FL",United States,291048N,0081329W,DAB,Daytona Beach International,Non-Fatal,Substantial,Airplane,N378FA,CESSNA,172S,No,1.0,Reciprocating,091,,Instructional,Phoenix East Aviation Inc.,0.0,0.0,0.0,1.0,VMC,,The pilot's inadequate flare that resulted in a hard landing.,25-09-2020
69548,20110222X15822,Incident,DCA11WA029,2011-02-15,"Pekanbaru, Indonesia",Indonesia,,,WIBB,Pekanbaru,Non-Fatal,Minor,Airplane,PK-LHH,Boeing,737,No,2.0,,NUSC,SCHD,,Lion Air,0.0,0.0,0.0,226.0,,,<br /><br />,03-11-2020
69550,20110216X14239,Accident,ERA11FA146,2011-02-16,"New Smyrna Beach, FL",United States,028576N,0080501W,,,Fatal,Substantial,Airplane,N6345L,CESSNA,172S,No,1.0,Reciprocating,091,,Instructional,Phoenix East Aviation,2.0,0.0,0.0,0.0,VMC,,The flight instructor's failure to recognize or implement adequate remedial action to counter the effects of spatial disorientation. Contributing to the accident was the spatial disorientation experienced by one or both pilots.,25-09-2020
69555,20110218X04149,Accident,CEN11FA195,2011-02-18,"Levelland, TX",United States,333258N,1022220W,LLN,Levelland Municipal,Fatal,Substantial,Airplane,N325LA,CESSNA,182P,No,1.0,Reciprocating,091,,Personal,FRANKLIN GERY,2.0,0.0,2.0,0.0,VMC,,The pilotï¿½s failure to maintain control of the airplane during a landing and subsequent go-around with a crosswind.,25-09-2020
69563,20110310X04200,Accident,CEN11FA220,2011-02-19,"Romeoville, IL",United States,413629N,0088546W,KLOT,Lewis University Airport,Non-Fatal,Substantial,Airplane,N888DF,Mooney,M20J,No,1.0,Reciprocating,091,,Personal,"DLM Holding Group, LLC",0.0,0.0,0.0,2.0,VMC,,The collapse of the left main landing gear during the landing roll for undetermined reasons.,25-09-2020
69573,20110225X34010,Accident,ANC11CA013,2011-02-23,"Sterling, AK",United States,603311N,1505020W,40AK,Sterling Air Park,Non-Fatal,Substantial,Airplane,N623MP,PIPER,PA-18,No,1.0,Reciprocating,091,,Personal,JOHNSON JOHNNY L,0.0,0.0,0.0,2.0,VMC,,"The airplane owner improper fabrication of a fuel line, and subsequent inadequate inspection by an aviation mechanic, resulting in a loss of engine power.",25-09-2020
69581,20110225X51014,Accident,CEN11LA204,2011-02-25,"Andrews, TX",United States,321952N,1023146W,E11,Andrews County,Non-Fatal,Substantial,Airplane,N739BL,CESSNA,172N,No,1.0,Reciprocating,091,,Personal,Stephan Warren Company,0.0,0.0,1.0,0.0,VMC,,"The pilot's failure to maintain adequate airspeed during an emergency descent, following a loss of engine power, which resulted in an inadvertent stall.",25-09-2020
69584,20110225X05255,Accident,WPR11FA145,2011-02-26,"Phoenix, AZ",United States,335410N,1115238W,DVT,Phoenix Deer Valley Airport,Fatal,Substantial,Airplane,N910PA,PIPER,PA-28-181,No,1.0,Reciprocating,091,,Instructional,TransPac Aviation Academy,3.0,0.0,0.0,0.0,VMC,,"The pilot and flight instructor's failure to adequately monitor the flight task and environment while maneuvering to maintain sufficient altitude with rising terrain in dark night conditions and the flight instructor's improper decision to practice in an area known to have no illumination, which led to collision with a rock outcropping.",25-09-2020
69597,20110227X93844,Accident,ERA11LA168,2011-02-27,"Welch, WV",United States,037250N,0813126W,I25,Welch Municipal,Non-Fatal,Substantial,Airplane,N739NY,CESSNA,172N,No,1.0,Reciprocating,091,,Personal,"Samuel Hazzard, Jr",0.0,0.0,2.0,0.0,VMC,,"The unlicensed pilotï¿½s decision to land on a closed runway with a tailwind, his failure to attain the proper touchdown point, and his delayed decision to attempt a go-around, resulting in a collision with trees.",25-09-2020
69618,20110627X32859,Accident,ERA11WA362,2011-03-04,"Kingston, Jamaica",Jamaica,017568N,0764715W,MKJP,Norman Manley International,Non-Fatal,Substantial,Airplane,6Y-JGA,CESSNA,152,No,1.0,Reciprocating,NUSN,,Unknown,,0.0,2.0,0.0,0.0,,,,03-11-2020
69621,20110308X42511,Accident,ANC11CA014,2011-03-05,"Montana Creek, AK",United States,062233N,0150433W,,,Non-Fatal,Substantial,Airplane,N447AF,CESSNA,172R,No,1.0,Reciprocating,091,,Personal,ELMENDORF AIR FORCE BASE AERO CLUB,0.0,0.0,0.0,1.0,VMC,,"The pilot's failure to recognize that he was landing at the wrong airstrip on a snow-covered and unplowed runway, resulting in the airplane nosing over.",25-09-2020
69623,20110307X04907,Accident,WPR11LA154,2011-03-06,"Pahrump, NV",United States,361615N,1155942W,NV74,Calvada Meadows Airport,Non-Fatal,Substantial,Airplane,N9400T,CESSNA,210,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,1.0,VMC,,The pilot's failure to extend the landing gear prior to touchdown and his improper decision to abort a gear-up landing following a propeller strike.,25-09-2020
